Order Date,Product,Region,Sales,Quantity,Month,Year
2024-01-05,Laptop,North,50000,2,1,2024
2024-01-10,Mobile,South,20000,3,1,2024
2024-02-15,Tablet,East,15000,2,2,2024
2024-02-20,Laptop,West,55000,1,2,2024
2024-03-05,Mobile,North,22000,4,3,2024
2024-03-18,Tablet,South,17000,2,3,2024
2024-04-10,Laptop,East,60000,2,4,2024
2024-04-22,Mobile,West,25000,3,4,2024
2024-05-12,Tablet,North,18000,2,5,2024
2024-05-25,Laptop,South,62000,1,5,2024
2024-06-05,Mobile,East,27000,3,6,2024
2024-06-18,Tablet,West,19000,2,6,2024
2024-07-10,Laptop,North,65000,2,7,2024
2024-07-22,Mobile,South,30000,4,7,2024
2024-08-05,Tablet,East,20000,2,8,2024
2024-08-18,Laptop,West,70000,1,8,2024
2024-09-10,Mobile,North,32000,3,9,2024
2024-09-25,Tablet,South,21000,2,9,2024
2024-10-12,Laptop,East,72000,2,10,2024
2024-10-28,Mobile,West,35000,4,10,2024
2024-11-15,Tablet,North,22000,2,11,2024
2024-11-30,Laptop,South,75000,1,11,2024
2024-12-10,Mobile,East,37000,3,12,2024
2024-12-20,Tablet,West,23000,2,12,2024
